longitude	latitude
103.73	28.68
104.03	28.78
104.31	28.72
103.99	28.7
104.3	28.75
103.87	28.73
103.96	28.66
104.01	28.63
104.04	28.76
103.87	28.75
103.94	28.69
104.16	28.68
104.12	28.66
103.81	28.76
103.77	28.65
104.31	28.84
103	30
103	29.99
103.05	30
103	29.98
103.01	29.98
102.95	29.97
103.17	29.96
103.02	30.11
103.04	30.11
103	30.11
103.01	30.09
103	30.08
103.02	30.12
103.11	30.02
103.18	29.97
103.16	29.97
103.19	29.97
103.07	30.15
102.99	29.95
102.93	29.94
103.07	29.79
103.05	30.14
103.07	30.18
102.98	30.05
103.11	29.84
103.12	29.84
103.13	29.92
102.95	29.98
103.01	29.95
103.05	30.01
103.06	29.7
103.09	29.74
103.06	30.02
103.1	30.19
103.02	30.02
103.02	29.99
103.11	29.94
103	29.95
103.02	30.08
103.08	30.18
103.12	29.8
103.01	29.77
103.13	29.75
103.02	29.73
103.06	29.87
103.01	29.99
103.27	31.18
103.2	30.21
103.07	30.08
103.1	30.07
103.25	30.11
103.28	30.1
103.18	30.11
103.13	30.07
103.14	30.09
103.23	30.05
103.18	30.07
103.19	30.03
103.15	30.02
103.14	30.14
103.08	30.11
103.2	30.11
103.23	30.02
103.19	30.07
103.24	30.1
103.31	30.1
103.1	30.06
103.19	30.05
103.25	30.03
103.25	30.08
103.19	29.99
103.18	30
103.28	30.16
103.34	30.14
103.15	30.08
103.18	29.99
103.17	30.12
103.3	30.11
103.35	30.16
103.28	30.12
103.36	30.18
103.18	30.1
103.16	30.07
103.23	30.07
103.2	30.18
103.23	30.18
103.05	30.08
103.22	30.05
103.22	30.09
103.37	30.1
103.24	30.08
103.11	30.14
103.21	30.02
103.16	30.03
103.33	30.1
103.14	30.18
103.19	30.04
103.18	30.23
103.03	30.02
103.12	30.09
103.27	30.14
103.1	30.03
103.22	30.04
103.23	30.06
103.18	30.13
103.18	30.05
103.16	30.01
102.83	30.26
103.33	30.08
103.36	30.13
102.83	29.9
103.33	30.12
103.37	30.22
103.35	30.22
103.26	30.19
103.34	30.18
102.84	29.84
102.84	29.78
102.84	29.8
102.83	29.8
102.82	29.87
102.85	29.85
102.84	29.67
102.85	29.7
102.85	29.88
102.85	29.79
102.79	29.79
102.81	29.78
102.82	29.79
102.86	29.78
102.8	29.78
102.85	29.87
102.86	29.83
102.84	29.88
102.68	29.84
102.69	29.86
102.71	29.84
102.72	29.85
102.75	29.84
102.83	29.88
102.85	29.8
102.9	29.8
102.84	29.77
102.76	29.73
102.76	29.85
102.74	29.84
102.75	29.77
102.64	29.78
102.86	29.88
102.63	29.76
102.58	29.77
102.71	29.83
102.72	29.73
102.66	29.78
102.74	29.83
102.76	29.77
102.78	29.78
102.66	29.85
102.85	29.82
102.87	29.75
102.57	29.48
102.77	29.82
102.77	29.76
102.81	29.87
102.76	29.78
102.74	29.68
102.74	29.79
102.68	29.35
102.67	29.3
102.69	29.31
102.65	29.3
102.57	29.29
102.6	29.51
102.6	29.5
102.66	29.5
102.63	29.58
102.64	29.46
102.56	29.17
102.62	29.58
102.61	29.61
102.72	29.31
102.65	29.35
102.66	29.34
102.61	29.5
102.64	29.5
102.64	29.48
102.64	29.51
102.62	29.53
102.67	29.33
102.58	29.33
